lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Bristol 038E,E01014527,19.8,BS105NB,1,1.0,0.00014132278123233464
Bristol 039A,E01014500,20.8,BS105NB,1,3.0,0.00042396834369700395
Bristol 039B,E01014502,20.8,BS105NB,1,4.0,0.0005652911249293386
Bristol 039E,E01033359,17.6,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 039F,E01033361,19.8,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 039G,E01033362,20.8,BS105NB,1,2.0,0.0002826455624646693
Bristol 039H,E01033364,20.8,BS105NB,1,5.0,0.0007066139061616733
Bristol 040A,E01014729,20.8,BS105NB,1,3.666666667,0.0005181835312323347
Bristol 040B,E01014733,20.8,BS105NB,1,1.0,0.00014132278123233464
Bristol 040C,E01014734,19.8,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 040D,E01014736,19.8,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 041A,E01014501,20.8,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 041B,E01014504,20.8,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 041C,E01014505,21.9,BS105NB,1,1.0,0.00014132278123233464
Bristol 041D,E01014506,19.8,BS105NB,1,1.0,0.00014132278123233464
Bristol 042A,E01014645,19.8,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 042B,E01014646,19.8,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 042C,E01014648,18.7,BS105NB,1,1.0,0.00014132278123233464
Bristol 042D,E01014649,18.7,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 042E,E01014651,19.8,BS105NB,1,2.0,0.0002826455624646693
Bristol 043A,E01014533,17.6,BS105NB,1,3.666666667,0.0005181835312323347
Bristol 043B,E01014534,19.8,BS105NB,1,5.0,0.0007066139061616733
Bristol 043C,E01014535,19.8,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 043D,E01014536,20.8,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 044A,E01014578,19.8,BS105NB,1,3.0,0.00042396834369700395
Bristol 044B,E01014583,21.9,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 044C,E01014585,21.9,BS105NB,1,2.0,0.0002826455624646693
Bristol 044D,E01014647,21.9,BS105NB,1,2.0,0.0002826455624646693
Bristol 044E,E01014650,19.8,BS105NB,1,4.0,0.0005652911249293386
Bristol 045A,E01014579,23.0,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 045B,E01014580,23.0,BS105NB,1,2.0,0.0002826455624646693
Bristol 045C,E01014581,21.9,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 045D,E01014582,21.9,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 045E,E01014584,20.8,BS105NB,1,0.666666667,9.42151875353307e-05
