lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
South Gloucestershire 018A,E01014904,13.3,BS105NB,1,4.0,0.0005139406398560967
South Gloucestershire 018B,E01014905,12.2,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 018C,E01014906,11.2,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 018D,E01014907,12.2,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 018E,E01014908,10.1,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 018F,E01014909,11.2,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 018G,E01014910,12.2,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 019A,E01014867,21.9,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 019B,E01014868,23.0,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 019D,E01014994,20.8,BS105NB,1,4.0,0.0005139406398560967
South Gloucestershire 019E,E01014995,19.8,BS105NB,1,3.666666667,0.00047111225324425026
South Gloucestershire 019F,E01033338,20.8,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 019G,E01033339,20.8,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 020A,E01014901,16.5,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 020B,E01014902,15.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 020C,E01014903,17.6,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 020D,E01014965,17.6,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 021A,E01014964,16.5,BS105NB,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 021B,E01014966,17.6,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 021C,E01014967,18.7,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 021D,E01014969,19.8,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 021F,E01033334,19.8,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 021G,E01033336,19.8,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 022A,E01014897,16.5,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 022B,E01014898,17.6,BS105NB,1,4.0,0.0005139406398560967
South Gloucestershire 022C,E01014899,17.6,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 022D,E01014900,17.6,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 023A,E01014959,18.7,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 023B,E01014960,18.7,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 023C,E01014961,18.7,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 023D,E01014968,18.7,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 024A,E01014865,15.5,BA13NG,1,2.0,0.00025697031992804833
South Gloucestershire 024B,E01014869,19.8,BA13NG,1,2.333333333,0.00029979870653989467
South Gloucestershire 024C,E01014870,17.6,BA13NG,1,1.666666667,0.000214141933316202
South Gloucestershire 024D,E01014871,17.6,BA13NG,1,2.0,0.00025697031992804833
South Gloucestershire 024E,E01014890,27.3,BA13NG,1,4.0,0.0005139406398560967
South Gloucestershire 024F,E01014891,21.9,BA13NG,1,2.333333333,0.00029979870653989467
South Gloucestershire 025A,E01014955,20.8,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 025B,E01014956,21.9,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 025C,E01014957,21.9,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 025D,E01014974,18.7,BS105NB,1,1.0,0.00012848515996402416
